channel,timestep,shap_value
Channel_0,0,-0.300959
Channel_0,1,-0.144419
Channel_0,2,-0.084743
Channel_0,3,-0.155239
Channel_0,4,-0.179482
Channel_0,5,-0.121526
Channel_0,6,-0.312345
Channel_0,7,-0.082042
Channel_0,8,0.000000
Channel_0,9,0.000000
Channel_0,10,0.000000
Channel_0,11,0.000000
Channel_0,12,0.000000
Channel_0,13,0.000000
Channel_0,14,0.000000
Channel_0,15,0.000000
Channel_0,16,0.000000
Channel_0,17,0.000000
Channel_0,18,0.000000
Channel_0,19,0.000000
Channel_0,20,0.000000
Channel_1,0,0.126066
Channel_1,1,0.120854
Channel_1,2,0.141319
Channel_1,3,0.114243
Channel_1,4,0.139830
Channel_1,5,0.117691
Channel_1,6,0.122813
Channel_1,7,0.101352
Channel_1,8,0.000000
Channel_1,9,0.000000
Channel_1,10,0.000000
Channel_1,11,0.000000
Channel_1,12,0.000000
Channel_1,13,0.000000
Channel_1,14,0.000000
Channel_1,15,0.000000
Channel_1,16,0.000000
Channel_1,17,0.000000
Channel_1,18,0.000000
Channel_1,19,0.000000
Channel_1,20,0.000000
Channel_2,0,-0.043420
Channel_2,1,-0.046522
Channel_2,2,-0.018544
Channel_2,3,-0.090885
Channel_2,4,-0.091981
Channel_2,5,-0.060196
Channel_2,6,-0.079559
Channel_2,7,-0.032126
Channel_2,8,0.000000
Channel_2,9,0.000000
Channel_2,10,0.000000
Channel_2,11,0.000000
Channel_2,12,0.000000
Channel_2,13,0.000000
Channel_2,14,0.000000
Channel_2,15,0.000000
Channel_2,16,0.000000
Channel_2,17,0.000000
Channel_2,18,0.000000
Channel_2,19,0.000000
Channel_2,20,0.000000
Channel_3,0,-0.055057
Channel_3,1,-0.079622
Channel_3,2,-0.072159
Channel_3,3,-0.080559
Channel_3,4,-0.107515
Channel_3,5,-0.124095
Channel_3,6,-0.145667
Channel_3,7,-0.143138
Channel_3,8,0.000000
Channel_3,9,0.000000
Channel_3,10,0.000000
Channel_3,11,0.000000
Channel_3,12,0.000000
Channel_3,13,0.000000
Channel_3,14,0.000000
Channel_3,15,0.000000
Channel_3,16,0.000000
Channel_3,17,0.000000
Channel_3,18,0.000000
Channel_3,19,0.000000
Channel_3,20,0.000000
Channel_4,0,-0.046909
Channel_4,1,-0.022286
Channel_4,2,-0.049029
Channel_4,3,-0.021122
Channel_4,4,-0.043282
Channel_4,5,-0.038153
Channel_4,6,-0.021588
Channel_4,7,-0.024267
Channel_4,8,0.000000
Channel_4,9,0.000000
Channel_4,10,0.000000
Channel_4,11,0.000000
Channel_4,12,0.000000
Channel_4,13,0.000000
Channel_4,14,0.000000
Channel_4,15,0.000000
Channel_4,16,0.000000
Channel_4,17,0.000000
Channel_4,18,0.000000
Channel_4,19,0.000000
Channel_4,20,0.000000
Channel_5,0,-0.056291
Channel_5,1,-0.053023
Channel_5,2,-0.045808
Channel_5,3,-0.049200
Channel_5,4,-0.043294
Channel_5,5,-0.045034
Channel_5,6,-0.054755
Channel_5,7,-0.047917
Channel_5,8,0.000000
Channel_5,9,0.000000
Channel_5,10,0.000000
Channel_5,11,0.000000
Channel_5,12,0.000000
Channel_5,13,0.000000
Channel_5,14,0.000000
Channel_5,15,0.000000
Channel_5,16,0.000000
Channel_5,17,0.000000
Channel_5,18,0.000000
Channel_5,19,0.000000
Channel_5,20,0.000000
Channel_6,0,-0.009188
Channel_6,1,0.001270
Channel_6,2,-0.011948
Channel_6,3,-0.008155
Channel_6,4,-0.016150
Channel_6,5,-0.003201
Channel_6,6,0.004436
Channel_6,7,-0.007765
Channel_6,8,0.000000
Channel_6,9,0.000000
Channel_6,10,0.000000
Channel_6,11,0.000000
Channel_6,12,0.000000
Channel_6,13,0.000000
Channel_6,14,0.000000
Channel_6,15,0.000000
Channel_6,16,0.000000
Channel_6,17,0.000000
Channel_6,18,0.000000
Channel_6,19,0.000000
Channel_6,20,0.000000
Channel_7,0,-0.030795
Channel_7,1,-0.014398
Channel_7,2,0.010228
Channel_7,3,-0.033368
Channel_7,4,0.008136
Channel_7,5,-0.011665
Channel_7,6,0.005263
Channel_7,7,-0.030869
Channel_7,8,0.000000
Channel_7,9,0.000000
Channel_7,10,0.000000
Channel_7,11,0.000000
Channel_7,12,0.000000
Channel_7,13,0.000000
Channel_7,14,0.000000
Channel_7,15,0.000000
Channel_7,16,0.000000
Channel_7,17,0.000000
Channel_7,18,0.000000
Channel_7,19,0.000000
Channel_7,20,0.000000
Channel_8,0,0.002079
Channel_8,1,-0.002946
Channel_8,2,0.001861
Channel_8,3,-0.000366
Channel_8,4,-0.003350
Channel_8,5,-0.001951
Channel_8,6,0.002199
Channel_8,7,0.001011
Channel_8,8,0.000000
Channel_8,9,0.000000
Channel_8,10,0.000000
Channel_8,11,0.000000
Channel_8,12,0.000000
Channel_8,13,0.000000
Channel_8,14,0.000000
Channel_8,15,0.000000
Channel_8,16,0.000000
Channel_8,17,0.000000
Channel_8,18,0.000000
Channel_8,19,0.000000
Channel_8,20,0.000000
Channel_9,0,0.190008
Channel_9,1,0.220832
Channel_9,2,0.104621
Channel_9,3,-0.043735
Channel_9,4,0.134376
Channel_9,5,0.137543
Channel_9,6,0.233189
Channel_9,7,-0.169523
Channel_9,8,0.000000
Channel_9,9,0.000000
Channel_9,10,0.000000
Channel_9,11,0.000000
Channel_9,12,0.000000
Channel_9,13,0.000000
Channel_9,14,0.000000
Channel_9,15,0.000000
Channel_9,16,0.000000
Channel_9,17,0.000000
Channel_9,18,0.000000
Channel_9,19,0.000000
Channel_9,20,0.000000
Channel_10,0,-0.015807
Channel_10,1,-0.022059
Channel_10,2,-0.022166
Channel_10,3,-0.022191
Channel_10,4,-0.022041
Channel_10,5,-0.030958
Channel_10,6,-0.036734
Channel_10,7,-0.031792
Channel_10,8,0.000000
Channel_10,9,0.000000
Channel_10,10,0.000000
Channel_10,11,0.000000
Channel_10,12,0.000000
Channel_10,13,0.000000
Channel_10,14,0.000000
Channel_10,15,0.000000
Channel_10,16,0.000000
Channel_10,17,0.000000
Channel_10,18,0.000000
Channel_10,19,0.000000
Channel_10,20,0.000000
Channel_11,0,0.231411
Channel_11,1,0.267993
Channel_11,2,0.157318
Channel_11,3,0.210187
Channel_11,4,0.245342
Channel_11,5,0.228924
Channel_11,6,0.282005
Channel_11,7,0.287948
Channel_11,8,0.000000
Channel_11,9,0.000000
Channel_11,10,0.000000
Channel_11,11,0.000000
Channel_11,12,0.000000
Channel_11,13,0.000000
Channel_11,14,0.000000
Channel_11,15,0.000000
Channel_11,16,0.000000
Channel_11,17,0.000000
Channel_11,18,0.000000
Channel_11,19,0.000000
Channel_11,20,0.000000
