channel,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Channel_0,-0.300959,-0.144419,-0.084743,-0.155239,-0.179482,-0.121526,-0.312345,-0.082042,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Channel_1,0.126066,0.120854,0.141319,0.114243,0.139830,0.117691,0.122813,0.101352,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Channel_2,-0.043420,-0.046522,-0.018544,-0.090885,-0.091981,-0.060196,-0.079559,-0.032126,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Channel_3,-0.055057,-0.079622,-0.072159,-0.080559,-0.107515,-0.124095,-0.145667,-0.143138,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Channel_4,-0.046909,-0.022286,-0.049029,-0.021122,-0.043282,-0.038153,-0.021588,-0.024267,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Channel_5,-0.056291,-0.053023,-0.045808,-0.049200,-0.043294,-0.045034,-0.054755,-0.047917,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Channel_6,-0.009188,0.001270,-0.011948,-0.008155,-0.016150,-0.003201,0.004436,-0.007765,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Channel_7,-0.030795,-0.014398,0.010228,-0.033368,0.008136,-0.011665,0.005263,-0.030869,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Channel_8,0.002079,-0.002946,0.001861,-0.000366,-0.003350,-0.001951,0.002199,0.001011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Channel_9,0.190008,0.220832,0.104621,-0.043735,0.134376,0.137543,0.233189,-0.169523,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Channel_10,-0.015807,-0.022059,-0.022166,-0.022191,-0.022041,-0.030958,-0.036734,-0.031792,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Channel_11,0.231411,0.267993,0.157318,0.210187,0.245342,0.228924,0.282005,0.287948,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
