timestep,Channel_0,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Channel_9,Channel_10,Channel_11
0,-0.300959,0.126066,-0.043420,-0.055057,-0.046909,-0.056291,-0.009188,-0.030795,0.002079,0.190008,-0.015807,0.231411
1,-0.144419,0.120854,-0.046522,-0.079622,-0.022286,-0.053023,0.001270,-0.014398,-0.002946,0.220832,-0.022059,0.267993
2,-0.084743,0.141319,-0.018544,-0.072159,-0.049029,-0.045808,-0.011948,0.010228,0.001861,0.104621,-0.022166,0.157318
3,-0.155239,0.114243,-0.090885,-0.080559,-0.021122,-0.049200,-0.008155,-0.033368,-0.000366,-0.043735,-0.022191,0.210187
4,-0.179482,0.139830,-0.091981,-0.107515,-0.043282,-0.043294,-0.016150,0.008136,-0.003350,0.134376,-0.022041,0.245342
5,-0.121526,0.117691,-0.060196,-0.124095,-0.038153,-0.045034,-0.003201,-0.011665,-0.001951,0.137543,-0.030958,0.228924
6,-0.312345,0.122813,-0.079559,-0.145667,-0.021588,-0.054755,0.004436,0.005263,0.002199,0.233189,-0.036734,0.282005
7,-0.082042,0.101352,-0.032126,-0.143138,-0.024267,-0.047917,-0.007765,-0.030869,0.001011,-0.169523,-0.031792,0.287948
8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
19,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
